window_days,stat,il_pct,capital_usd,fee_tier,dao_fee_share,effective_fee,required_volume_per_day_usd
30,p10,-1.5624,1000000,0.003000,0.500,0.001500,347201.55
30,p10,-1.5624,1000000,0.003000,0.800,0.002400,217000.97
30,p10,-1.5624,1000000,0.010000,0.500,0.005000,104160.47
30,p10,-1.5624,1000000,0.010000,0.800,0.008000,65100.29
30,p50,-0.3055,1000000,0.003000,0.500,0.001500,67884.82
30,p50,-0.3055,1000000,0.003000,0.800,0.002400,42428.01
30,p50,-0.3055,1000000,0.010000,0.500,0.005000,20365.45
30,p50,-0.3055,1000000,0.010000,0.800,0.008000,12728.40
30,p90,-0.0187,1000000,0.003000,0.500,0.001500,4166.08
30,p90,-0.0187,1000000,0.003000,0.800,0.002400,2603.80
30,p90,-0.0187,1000000,0.010000,0.500,0.005000,1249.82
30,p90,-0.0187,1000000,0.010000,0.800,0.008000,781.14
30,best,-0.0000,1000000,0.003000,0.500,0.001500,7.82
30,best,-0.0000,1000000,0.003000,0.800,0.002400,4.89
30,best,-0.0000,1000000,0.010000,0.500,0.005000,2.35
30,best,-0.0000,1000000,0.010000,0.800,0.008000,1.47
30,worst,-4.1887,1000000,0.003000,0.500,0.001500,930816.85
30,worst,-4.1887,1000000,0.003000,0.800,0.002400,581760.53
30,worst,-4.1887,1000000,0.010000,0.500,0.005000,279245.05
30,worst,-4.1887,1000000,0.010000,0.800,0.008000,174528.16
90,p10,-4.0718,1000000,0.003000,0.500,0.001500,301617.47
90,p10,-4.0718,1000000,0.003000,0.800,0.002400,188510.92
90,p10,-4.0718,1000000,0.010000,0.500,0.005000,90485.24
90,p10,-4.0718,1000000,0.010000,0.800,0.008000,56553.28
90,p50,-1.4076,1000000,0.003000,0.500,0.001500,104266.94
90,p50,-1.4076,1000000,0.003000,0.800,0.002400,65166.84
90,p50,-1.4076,1000000,0.010000,0.500,0.005000,31280.08
90,p50,-1.4076,1000000,0.010000,0.800,0.008000,19550.05
90,p90,-0.0207,1000000,0.003000,0.500,0.001500,1532.74
90,p90,-0.0207,1000000,0.003000,0.800,0.002400,957.96
90,p90,-0.0207,1000000,0.010000,0.500,0.005000,459.82
90,p90,-0.0207,1000000,0.010000,0.800,0.008000,287.39
90,best,-0.0000,1000000,0.003000,0.500,0.001500,2.34
90,best,-0.0000,1000000,0.003000,0.800,0.002400,1.47
90,best,-0.0000,1000000,0.010000,0.500,0.005000,0.70
90,best,-0.0000,1000000,0.010000,0.800,0.008000,0.44
90,worst,-11.8698,1000000,0.003000,0.500,0.001500,879245.21
90,worst,-11.8698,1000000,0.003000,0.800,0.002400,549528.26
90,worst,-11.8698,1000000,0.010000,0.500,0.005000,263773.56
90,worst,-11.8698,1000000,0.010000,0.800,0.008000,164858.48
180,p10,-8.1591,1000000,0.003000,0.500,0.001500,302190.73
180,p10,-8.1591,1000000,0.003000,0.800,0.002400,188869.21
180,p10,-8.1591,1000000,0.010000,0.500,0.005000,90657.22
180,p10,-8.1591,1000000,0.010000,0.800,0.008000,56660.76
180,p50,-4.5563,1000000,0.003000,0.500,0.001500,168752.89
180,p50,-4.5563,1000000,0.003000,0.800,0.002400,105470.56
180,p50,-4.5563,1000000,0.010000,0.500,0.005000,50625.87
180,p50,-4.5563,1000000,0.010000,0.800,0.008000,31641.17
180,p90,-2.5459,1000000,0.003000,0.500,0.001500,94293.88
180,p90,-2.5459,1000000,0.003000,0.800,0.002400,58933.68
180,p90,-2.5459,1000000,0.010000,0.500,0.005000,28288.17
180,p90,-2.5459,1000000,0.010000,0.800,0.008000,17680.10
180,best,-1.4812,1000000,0.003000,0.500,0.001500,54858.52
180,best,-1.4812,1000000,0.003000,0.800,0.002400,34286.58
180,best,-1.4812,1000000,0.010000,0.500,0.005000,16457.56
180,best,-1.4812,1000000,0.010000,0.800,0.008000,10285.97
180,worst,-16.7805,1000000,0.003000,0.500,0.001500,621500.63
180,worst,-16.7805,1000000,0.003000,0.800,0.002400,388437.89
180,worst,-16.7805,1000000,0.010000,0.500,0.005000,186450.19
180,worst,-16.7805,1000000,0.010000,0.800,0.008000,116531.37
